nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,data_source
BRA,"FW,MF",23,2001,35,31,2661,29.6,15,5,20,15,0,0,5,0,0.51,0.17,0.68,0.51,0.68,big5_club
ENG,DF,22,2003,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ENG,FW,22,2003,28,12,1107,12.3,1,0,1,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08,big5_club
FRA,"DF,MF",22,2003,34,26,2261,25.1,2,3,5,2,0,0,5,1,0.08,0.12,0.2,0.08,0.2,big5_club
SEN,DF,19,2005,3,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,27,1998,34,31,2707,30.1,1,4,5,1,0,0,8,1,0.03,0.13,0.17,0.03,0.17,big5_club
ESP,FW,19,2006,8,1,257,2.9,0,1,1,0,0,0,1,0,0.0,0.35,0.35,0.0,0.35,big5_club
ECU,MF,23,2001,33,32,2795,31.1,3,1,4,3,0,0,11,1,0.1,0.03,0.13,0.1,0.13,big5_club
POR,"MF,FW",25,2000,34,30,2631,29.2,5,6,11,5,0,0,4,1,0.17,0.21,0.38,0.17,0.38,big5_club
ENG,"DF,MF",25,1999,29,20,1963,21.8,2,4,6,2,0,0,4,0,0.09,0.18,0.28,0.09,0.28,big5_club
ESP,GK,27,1997,35,35,3039,33.8,0,1,1,0,0,0,3,1,0.0,0.03,0.03,0.0,0.03,big5_club
BEL,MF,21,2004,12,4,382,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ENG,FW,17,2007,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ENG,DF,27,1997,16,8,795,8.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
ENG,DF,26,1999,34,31,2783,30.9,3,0,3,3,0,0,3,1,0.1,0.0,0.1,0.1,0.1,big5_club
ENG,FW,19,2006,4,0,145,1.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
FRA,DF,24,2000,25,20,1722,19.1,0,1,1,0,0,0,9,2,0.0,0.05,0.05,0.0,0.05,big5_club
ENG,MF,21,2004,34,29,2552,28.4,1,5,6,1,0,0,6,1,0.04,0.18,0.21,0.04,0.21,big5_club
CRO,"DF,MF",27,1998,7,0,101,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
WAL,"MF,FW",24,2001,18,13,1112,12.4,0,1,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,big5_club
MAR,DF,22,2003,9,6,552,6.1,0,1,1,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,big5_club
USA,DF,25,2000,33,31,2827,31.4,1,0,1,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,big5_club
NGA,FW,22,2003,14,0,173,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
JPN,MF,28,1996,28,22,1902,21.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,big5_club
COL,MF,29,1996,29,29,2399,26.7,4,3,7,4,0,0,7,0,0.15,0.11,0.26,0.15,0.26,big5_club
ENG,GK,28,1997,37,37,3330,37.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,big5_club
ENG,MF,27,1998,1,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
